customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,order_date,year,month,quarter,cost_price,profit,profit_margin,is_repeat_customer,clv,customer_segment,acquisition_cost,net_profit,discount_impact,revenue_bucket,cohort_month,retention_flag,age_group,purchase_frequency_days
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,14,Venmo,Fortnightly,2024-01-31 05:14:27,2024,1,2024Q1,33.71126411548145,19.28873588451855,36.39384129154444,1,424.0,Medium,13.56999507457893,5.7187408099396215,4.089187273942728,Medium,2024-01,1,Middle-aged,14
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,2,Cash,Fortnightly,2023-10-19 21:17:16,2023,10,2023Q4,44.27005367697716,19.729946323022844,30.828041129723196,1,128.0,Medium,14.112076308628538,5.617870014394306,6.07526330835737,Medium,2023-10,1,Young Adult,14
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,23,Credit Card,Weekly,2023-10-21 08:38:02,2023,10,2023Q4,51.98876716509422,21.011232834905783,28.78251073274765,1,912.5,Medium,12.84737001208974,8.163862822816043,8.415537577743974,Medium,2023-10,1,Middle-aged,7
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,49,PayPal,Weekly,2022-09-02 00:03:08,2022,9,2022Q3,69.55130845323019,20.44869154676981,22.720768385299785,1,2295.0,High,18.117126549254635,2.331564997515173,12.205315352576584,Medium,2022-09,0,Young Adult,7
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,31,PayPal,Annually,2022-06-04 02:38:12,2022,6,2022Q2,34.11706709004952,14.882932909950483,30.3733324692867,1,808.5,Medium,5.651500358534562,9.23143255141592,3.8569460022170015,Low,2022-06,0,Middle-aged,365
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,14,Venmo,Weekly,2023-02-19 05:22:01,2023,2,2023Q1,15.590698690711823,4.409301309288175,22.046506546440877,1,160.0,Low,8.915425873037721,-4.506124563749546,1.3674566806828747,Low,2023-02,1,Middle-aged,7
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,49,Cash,Quarterly,2022-11-06 10:37:10,2022,11,2022Q4,62.46393264339898,22.536067356601023,26.513020419530616,1,2167.5,High,18.13643808288733,4.399629273713693,7.470203451229717,Medium,2022-11,0,Senior,90
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,19,Credit Card,Weekly,2024-12-17 03:26:02,2024,12,2024Q4,21.331593628764967,12.668406371235031,37.26001873892657,1,357.0,Low,16.285185537979338,-3.6167791667443048,4.7409024596643095,Low,2024-12,1,Young Adult,7
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,8,Venmo,Annually,2024-11-20 06:51:32,2024,11,2024Q4,77.50263856490682,19.497361435093183,20.100372613498127,1,485.0,High,5.264677402679087,14.232684032414095,4.945649064870254,Medium,2024-11,1,Young Adult,365
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,4,Cash,Quarterly,2023-01-02 02:48:03,2023,1,2023Q1,21.868842496674255,9.131157503325742,29.455346784921748,1,93.0,Low,12.75509424814563,-3.623936744819888,3.65139270977901,Low,2023-01,1,Middle-aged,90
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,26,Bank Transfer,Bi-Weekly,2024-06-07 03:56:23,2024,6,2024Q2,23.06463641558173,10.935363584418266,32.16283407181843,1,476.0,Low,12.943590210690122,-2.008226626271856,3.3223441577993773,Low,2024-06,1,Middle-aged,14
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,10,Bank Transfer,Fortnightly,2024-10-19 16:02:31,2024,10,2024Q4,49.76394719678556,18.23605280321444,26.817724710609475,1,408.0,Medium,11.013232026918656,7.2228207762957854,4.495114261732625,Medium,2024-10,1,Young Adult,14
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,37,Venmo,Fortnightly,2024-10-20 06:15:49,2024,10,2024Q4,44.76806372132696,27.23193627867304,37.82213372037922,1,1404.0,Medium,9.460899980929844,17.771036297743194,5.91135498917616,Medium,2024-10,1,Senior,14
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,31,PayPal,Weekly,2022-02-27 15:45:05,2022,2,2022Q1,37.09269419688422,13.907305803115785,27.269227064932902,1,841.5,Medium,15.225872756185131,-1.3185669530693485,3.697245223772873,Medium,2022-02,0,Senior,7
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,34,Debit Card,Weekly,2022-06-11 11:56:07,2022,6,2022Q2,37.081301605292296,15.918698394707704,30.035279990014534,1,954.0,Medium,8.116856970571307,7.801841424136397,7.302510489817648,Medium,2022-06,0,Senior,7
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,8,PayPal,Monthly,2024-09-18 08:29:31,2024,9,2024Q3,55.18811993397705,25.81188006602295,31.866518600028336,1,405.0,High,16.984228431075593,8.827651634947358,7.953174409954421,Medium,2024-09,1,Senior,30
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,44,Debit Card,Bi-Weekly,2022-02-22 07:56:13,2022,2,2022Q1,28.461744152488077,7.538255847511927,20.93959957642202,1,828.0,Low,17.04555741151208,-9.507301564000151,3.827139400340974,Low,2022-02,0,Young Adult,14
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,36,Venmo,Quarterly,2022-02-08 17:06:09,2022,2,2022Q1,26.77130184716361,11.228698152836394,29.54920566535893,1,722.0,Low,11.228921563592309,-0.0002234107559146,4.156012953480679,Low,2022-02,0,Middle-aged,90
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,17,Cash,Weekly,2024-06-08 23:18:17,2024,6,2024Q2,30.90352780291141,17.09647219708859,35.61765041060123,1,456.0,Medium,9.253220163644714,7.843252033443877,5.470162198091309,Low,2024-06,1,Middle-aged,7
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,46,Debit Card,Bi-Weekly,2022-12-18 06:26:04,2022,12,2022Q4,62.26134262879138,27.738657371208618,30.82073041245402,1,2160.0,High,9.258172723860698,18.48048464734792,8.96000121338337,Medium,2022-12,0,Senior,14
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,50,Cash,Every 3 Months,2023-05-12 01:34:40,2023,5,2023Q2,39.97775152664126,11.022248473358736,21.612251908546543,1,1326.0,Medium,12.23436985994315,-1.212121386584414,2.6411550072652106,Medium,2023-05,1,Young Adult,90
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,22,Debit Card,Quarterly,2024-06-18 21:35:54,2024,6,2024Q2,39.38358384449937,22.61641615550063,36.47809057338811,1,744.0,Medium,15.793688371240382,6.822727784260248,5.175280658870842,Medium,2024-06,1,Young Adult,90
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,32,Debit Card,Annually,2023-12-22 11:51:05,2023,12,2023Q4,23.78328208629295,13.21671791370705,35.72085922623528,1,629.0,Low,10.38303036490788,2.833687548799169,2.530330990667667,Low,2023-12,1,Middle-aged,365
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,40,Credit Card,Weekly,2024-02-06 07:36:31,2024,2,2024Q1,53.02932039252467,34.97067960747533,39.73940864485833,1,1848.0,High,14.150650181866272,20.82002942560906,10.385257017622756,Medium,2024-02,1,Young Adult,7
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,16,Debit Card,Weekly,2023-06-26 13:49:15,2023,6,2023Q2,13.262436217341374,8.737563782658626,39.716199012084665,1,198.0,Low,10.737266908738915,-1.9997031260802896,1.224750233014103,Low,2023-06,1,Young Adult,7
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,14,PayPal,Annually,2022-09-06 19:49:15,2022,9,2022Q3,19.146958134792563,5.853041865207437,23.41216746082975,1,200.0,Low,9.567847837270753,-3.7148059720633135,2.6595084777791107,Low,2022-09,0,Young Adult,365
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,13,Credit Card,Annually,2023-11-29 00:06:38,2023,11,2023Q4,14.928490427371823,5.071509572628177,25.357547863140883,1,150.0,Low,5.372892738736913,-0.301383166108736,1.421263444548602,Low,2023-11,1,Adult,365
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,7,Bank Transfer,Every 3 Months,2024-07-12 02:51:41,2024,7,2024Q3,37.57645983226193,18.423540167738068,32.89917887096084,1,252.0,Medium,5.05871158603086,13.364828581707208,8.113536695415542,Medium,2024-07,1,Middle-aged,90
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,41,PayPal,Every 3 Months,2022-07-15 03:51:10,2022,7,2022Q3,69.52824975587836,24.47175024412164,26.033776855448547,1,2021.0,High,8.408115167480066,16.06363507664157,7.854084856553434,Medium,2022-07,0,Middle-aged,90
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,14,Credit Card,Weekly,2023-08-29 03:53:22,2023,8,2023Q3,32.59397689257572,15.406023107424282,32.09588147380059,1,384.0,Medium,11.096094302014931,4.309928805409351,3.961061718598244,Low,2023-08,1,Young Adult,7
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,16,Credit Card,Monthly,2023-01-06 22:30:03,2023,1,2023Q1,24.507960135186533,6.492039864813467,20.942064080043444,1,279.0,Low,17.768917510430903,-11.276877645617436,4.412492470771243,Low,2023-01,1,Middle-aged,30
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,45,Venmo,Monthly,2023-12-09 14:20:38,2023,12,2023Q4,62.67943236653136,16.32056763346864,20.65894637147929,1,1856.5,High,16.97726364395638,-0.6566960104877388,7.247048570402716,Medium,2023-12,1,Adult,30
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,37,Venmo,Annually,2023-12-21 20:22:11,2023,12,2023Q4,45.4634365958452,21.5365634041548,32.14412448381313,1,1306.5,Medium,9.007478938819848,12.52908446533495,9.801177639044472,Medium,2023-12,1,Adult,365
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,45,Cash,Quarterly,2024-01-26 14:47:30,2024,1,2024Q1,29.2920864881906,8.707913511809402,22.91556187318264,1,893.0,Low,8.66810664476449,0.0398068670449109,1.9918473381073132,Low,2024-01,1,Middle-aged,90
